Countries & Areas,Total,Under 18,Under5,APGR 2000-20,APGR 2020-30,Annual  Births,Fertility Births ,Life expectancy 1970,Lifeexpectancy 2000,Life expectancy 2020     ,,Total dependency,Child  dependency,Old Dependency ,Urban Population (%),2000-2020,2020-2030,Net migration rate ,
Afghanistan,"38,928","19,137","5,673",3.0,1.9,"1,216",4.2,37,56,65,,80,75,5,26,3.8,3.1,-1.7,
Albania,"2,878",611,166,-0.4,-0.3,33,1.6,67,74,79,,47,25,22,62,1.5,0.7,-4.9,
Algeria,"43,851","15,292","5,042",1.6,1.3,995,2.9,50,71,77,,60,49,11,74,2.6,1.8,-0.2,
Angola,"32,866","17,457","5,795",3.3,2.8,"1,311",5.4,41,47,61,,95,90,4,67,4.7,3.6,0.2,
Antigua and Barbuda,98,26,7,1.2,0.6,1,2.0,66,74,77,,45,32,14,24,-0.1,0.8,0.0,
Argentina,"45,196","13,176","3,737",1.0,0.7,752,2.2,66,74,77,,56,38,18,92,1.1,0.9,0.1,
Armenia,"2,963",721,205,-0.2,0.0,39,1.8,70,71,75,,48,31,18,63,-0.3,0.3,-1.7,
Australia,"25,500","5,833","1,670",1.4,0.9,318,1.8,71,80,84,,55,30,25,86,1.5,1.1,6.4,
Austria,"9,006","1,564",448,0.5,0.2,90,1.6,70,78,82,,51,22,29,59,0.4,0.6,7.4,
Azerbaijan,"10,139","2,764",825,1.1,0.5,157,2.0,63,67,73,,43,34,10,56,1.5,1.2,0.1,
Bahamas,393,104,27,1.3,0.7,5,1.7,66,72,74,,42,31,11,83,1.4,0.9,2.6,
Bahrain,"1,702",366,108,4.5,1.5,22,1.9,63,74,77,,26,23,3,90,4.5,1.7,31.1,
Bangladesh,"164,689","53,407","14,328",1.2,0.8,"2,890",2.0,47,65,73,,47,39,8,38,3.5,2.4,-2.3,
Barbados,287,59,15,0.3,0.1,3,1.6,69,77,79,,50,25,25,31,-0.1,0.5,-0.3,
Belarus,"9,449","1,902",548,-0.2,-0.2,108,1.7,71,67,75,,49,26,23,79,0.4,0.2,0.9,
Belgium,"11,590","2,360",634,0.6,0.2,124,1.7,71,78,82,,57,27,30,98,0.6,0.3,4.2,
Belize,398,140,39,2.3,1.5,8,2.2,66,69,75,,52,44,8,46,2.3,2.0,3.2,
Benin,"12,123","5,882","1,908",2.7,2.3,430,4.7,42,55,62,,83,77,6,48,3.8,3.4,-0.2,
Bhutan,772,233,64,1.3,0.8,13,1.9,40,61,72,,45,36,9,42,3.7,2.1,0.4,
Bolivia (Plurinational State of),"11,673","4,214","1,185",1.6,1.1,247,2.7,46,62,72,,60,48,12,70,2.2,1.6,-0.8,
Bosnia and Herzegovina,"3,281",572,133,-0.6,-0.4,26,1.2,66,74,78,,48,21,27,49,0.1,0.4,-6.4,
Botswana,"2,352",924,272,1.7,1.5,55,2.8,54,51,70,,61,54,7,71,3.1,2.2,1.3,
Brazil,"212,559","53,597","14,475",0.9,0.5,"2,859",1.7,59,70,76,,43,30,14,87,1.3,0.7,0.1,
Brunei Darussalam,437,118,32,1.3,0.7,6,1.8,63,73,76,,39,31,8,78,1.7,1.0,0.0,
Bulgaria,"6,948","1,215",313,-0.7,-0.7,61,1.6,71,72,75,,57,23,34,76,-0.2,-0.3,-0.7,
Burkina Faso,"20,903","10,708","3,472",2.8,2.5,775,5.0,39,50,62,,88,83,5,31,5.4,4.2,-1.3,
Burundi,"11,891","6,139","2,054",3.0,2.6,450,5.2,44,49,62,,91,86,5,14,5.4,4.8,0.2,
Cabo Verde,556,186,52,1.2,0.8,10,2.2,53,69,73,,49,42,7,67,2.3,1.4,-2.5,
Cambodia,"16,719","6,051","1,779",1.5,1.1,360,2.5,42,58,70,,56,48,8,24,2.8,2.7,-1.9,
Cameroon,"26,546","12,936","4,116",2.6,2.2,915,4.4,47,51,60,,81,76,5,58,3.7,3.0,-0.2,
Canada,"37,742","7,120","1,993",1.0,0.7,387,1.5,73,79,83,,51,24,27,82,1.1,0.9,6.6,
Central African Republic,"4,830","2,473",738,1.3,1.9,169,4.6,42,44,54,,86,81,5,42,1.9,3.0,-8.6,
Chad,"16,426","8,788","2,930",3.2,2.5,678,5.6,41,48,55,,96,91,5,24,3.6,3.8,0.1,
Chile,"19,116","4,414","1,162",1.0,0.2,227,1.6,62,76,80,,46,28,18,88,1.1,0.3,6.0,
China,"1,439,324","304,174","83,932",0.5,0.2,"16,233",1.7,59,71,77,,42,25,17,61,3.1,1.4,-0.2,
Colombia,"50,883","13,801","3,711",1.2,0.4,727,1.8,62,73,77,,45,32,13,81,1.6,0.8,4.2,
Comoros,870,394,124,2.2,1.8,27,4.1,46,59,65,,73,67,5,29,2.5,2.8,-2.4,
Congo,"5,518","2,634",822,2.7,2.2,177,4.3,51,52,65,,79,74,5,68,3.4,2.8,-0.8,
Costa Rica,"5,094","1,276",348,1.2,0.6,68,1.7,66,77,80,,45,30,15,81,2.7,1.2,0.8,
C“te d'Ivoire,"26,378","12,731","4,131",2.2,2.2,929,4.5,44,50,58,,80,75,5,52,3.1,3.1,-0.3,
Croatia,"4,105",713,184,-0.4,-0.5,35,1.4,68,75,79,,56,23,33,58,0.0,0.1,-1.9,
Cuba,"11,327","2,182",571,0.1,-0.1,111,1.6,70,77,79,,47,23,23,77,0.2,0.0,-1.3,
Cyprus,"1,207",243,65,1.2,0.5,12,1.3,73,78,81,,45,24,21,67,1.0,0.7,4.2,
Czechia,"10,709","1,989",559,0.2,0.0,108,1.7,70,75,80,,56,25,31,74,0.2,0.3,2.1,
Democratic People's Republic of Korea,"25,779","6,225","1,746",0.6,0.3,355,1.9,60,65,72,,41,28,13,62,0.8,0.8,-0.2,
Democratic Republic of the Congo,"89,561","46,929","15,827",3.1,2.7,"3,598",5.7,44,50,61,,95,89,6,46,4.3,3.8,0.3,
Denmark,"5,792","1,144",309,0.4,0.3,63,1.8,73,77,81,,57,26,32,88,0.6,0.5,2.6,
Djibouti,988,340,99,1.5,1.1,20,2.6,49,57,67,,51,44,7,78,1.6,1.3,0.9,
Dominican Republic,"10,848","3,554","1,003",1.2,0.7,204,2.3,58,69,74,,54,42,12,83,2.6,1.3,-2.8,
Ecuador,"17,643","5,767","1,667",1.6,1.1,337,2.4,58,73,77,,54,42,12,64,1.9,1.4,2.2,
Egypt,"102,334","39,988","12,697",1.9,1.5,"2,563",3.2,52,69,72,,65,56,9,43,1.9,1.9,-0.4,
El Salvador,"6,486","2,072",576,0.5,0.4,116,2.0,55,69,74,,54,41,13,73,1.5,1.1,-6.3,
Equatorial Guinea,"1,403",588,200,4.0,2.6,45,4.3,40,53,59,,64,60,4,73,5.9,3.1,12.4,
Eritrea,"3,546","1,697",495,2.1,1.6,104,3.9,43,55,67,,84,76,8,41,4.2,2.9,-11.6,
Estonia,"1,327",258,69,-0.3,-0.3,13,1.6,70,70,79,,58,26,32,69,-0.3,0.0,3.0,
Eswatini,"1,160",514,144,0.7,1.0,29,2.9,48,47,61,,71,64,7,24,1.0,1.9,-7.4,
Ethiopia,"114,964","53,790","16,791",2.6,2.1,"3,619",4.0,43,52,67,,77,71,6,22,4.5,4.0,0.3,
Fiji,896,306,89,0.5,0.7,18,2.7,62,66,68,,53,45,9,57,1.3,1.4,-7.0,
Finland,"5,541","1,057",264,0.3,0.1,49,1.5,70,78,82,,62,26,37,86,0.5,0.2,2.5,
France,"65,274","13,879","3,620",0.5,0.2,719,1.8,72,79,83,,62,29,34,81,0.8,0.5,0.6,
Gabon,"2,226",948,320,2.8,1.9,67,3.9,47,58,67,,69,63,6,90,3.5,2.2,1.6,
Gambia,"2,417","1,220",410,2.9,2.5,91,5.1,38,56,62,,87,82,5,63,4.2,3.3,-1.4,
Georgia,"3,989",938,268,-0.4,-0.3,51,2.0,67,70,74,,55,31,24,59,0.2,0.3,-2.5,
Germany,"83,784","14,113","4,059",0.1,-0.1,790,1.6,71,78,81,,55,22,34,77,0.3,0.1,6.6,
Ghana,"31,073","13,455","4,169",2.3,1.8,889,3.8,49,57,64,,67,62,5,57,3.5,2.7,-0.3,
Greece,"10,423","1,741",409,-0.3,-0.5,76,1.3,71,79,82,,56,21,35,80,0.1,-0.1,-1.5,
Grenada,113,31,9,0.4,0.3,2,2.0,66,73,72,,51,36,15,37,0.5,0.8,-1.8,
Guatemala,"17,916","7,149","2,065",2.0,1.5,428,2.8,53,68,75,,62,54,8,52,2.7,2.3,-0.5,
Guinea,"13,133","6,583","2,100",2.2,2.4,468,4.6,37,51,62,,85,80,5,37,3.1,3.4,-0.3,
Guinea-Bissau,"1,968",953,305,2.4,2.0,67,4.3,41,50,59,,81,76,5,44,3.3,2.9,-0.8,
Guyana,787,262,74,0.2,0.4,15,2.4,62,65,70,,53,42,11,27,-0.1,1.0,-7.7,
Haiti,"11,403","4,398","1,263",1.4,1.0,269,2.8,46,57,64,,60,52,8,57,3.7,2.2,-3.2,
Holy See,<1,<1,<1,0.1,-0.1,-,-,-,-,-,,92,16,75,100,0.1,-0.1,-,
Honduras,"9,905","3,654","1,017",2.0,1.3,209,2.4,53,71,75,,55,47,8,58,3.1,2.2,-0.7,
Hungary,"9,660","1,683",461,-0.3,-0.3,91,1.5,69,72,77,,53,22,31,72,0.2,0.1,0.6,
Iceland,341,79,20,0.9,0.5,4,1.7,74,80,83,,54,30,24,94,1.0,0.5,1.1,
India,"1,380,004","436,943","116,880",1.3,0.8,"24,068",2.2,48,63,70,,49,39,10,35,2.4,2.0,-0.4,
Indonesia,"273,524","84,934","23,658",1.2,0.8,"4,771",2.3,53,66,72,,47,38,9,57,2.6,1.8,-0.4,
Iran (Islamic Republic of),"83,993","24,151","7,638",1.2,0.9,"1,503",2.1,51,70,77,,46,36,10,76,2.0,1.4,-0.7,
Iraq,"40,223","17,702","5,380",2.6,2.0,"1,136",3.5,58,69,71,,70,64,6,71,2.7,2.3,0.2,
Ireland,"4,938","1,220",314,1.3,0.6,59,1.8,71,77,82,,55,32,23,64,1.6,1.0,4.9,
Israel,"8,656","2,815",848,1.8,1.3,170,3.0,72,79,83,,67,47,21,93,1.9,1.4,1.2,
Italy,"60,462","9,576","2,325",0.3,-0.2,438,1.3,72,80,84,,57,20,37,71,0.6,0.2,2.5,
Jamaica,"2,961",833,231,0.5,0.3,46,2.0,68,74,75,,48,35,13,56,0.9,0.9,-3.9,
Japan,"126,476","19,137","4,778",0.0,-0.4,909,1.4,72,81,85,,69,21,48,92,0.7,-0.3,0.6,
Jordan,"10,203","3,989","1,058",3.3,0.4,214,2.6,60,72,75,,58,52,6,91,4.0,0.6,1.1,
Kazakhstan,"18,777","6,174","1,920",1.1,0.9,368,2.7,63,63,74,,59,46,13,58,1.2,1.2,-1.0,
Kenya,"53,771","24,449","7,044",2.5,1.9,"1,506",3.4,53,51,67,,70,66,4,28,4.1,3.5,-0.2,
Kiribati,119,49,15,1.7,1.4,3,3.5,52,63,69,,67,60,7,56,2.9,2.4,-6.9,
Kuwait,"4,271","1,058",290,3.5,1.0,54,2.1,66,73,76,,32,28,4,100,3.6,1.0,9.8,
Kyrgyzstan,"6,524","2,434",760,1.3,1.2,151,2.9,60,66,72,,60,52,8,37,1.5,2.1,-0.6,
Lao People's Democratic Republic,"7,276","2,753",797,1.5,1.1,165,2.6,46,59,68,,57,50,7,36,3.9,2.6,-2.1,
Latvia,"1,886",365,114,-1.1,-0.8,20,1.7,70,70,75,,59,26,33,68,-1.1,-0.6,-7.6,
Lebanon,"6,825","2,054",566,2.7,-0.9,116,2.1,66,75,79,,48,37,11,89,2.9,-0.7,-4.5,
Lesotho,"2,142",821,254,0.2,0.7,56,3.1,51,48,55,,59,51,8,29,2.1,2.2,-4.8,
Liberia,"5,058","2,383",740,2.7,2.1,164,4.2,39,52,64,,78,72,6,52,3.5,3.0,-1.0,
Libya,"6,871","2,251",624,1.2,0.9,122,2.2,56,71,73,,48,41,7,81,1.4,1.2,-0.3,
Lithuania,"2,722",494,145,-1.2,-0.8,28,1.7,71,71,76,,56,24,32,68,-1.1,-0.5,-11.6,
Luxembourg,626,117,33,1.7,0.9,6,1.4,70,78,82,,43,22,21,91,2.1,1.1,16.3,
Madagascar,"27,691","12,939","4,109",2.7,2.3,892,4.0,45,58,67,,76,70,5,39,4.4,3.7,-0.1,
Malawi,"19,130","9,575","2,924",2.6,2.4,642,4.1,40,45,65,,84,79,5,17,3.4,4.0,-0.9,
Malaysia,"32,366","9,162","2,635",1.6,1.0,532,2.0,65,73,76,,44,34,10,77,2.6,1.5,1.6,
Maldives,541,121,36,3.1,-0.4,7,1.8,44,70,79,,30,26,5,41,5.0,0.6,22.8,
Mali,"20,251","10,931","3,606",2.9,2.6,823,5.7,32,48,60,,98,93,5,44,5.0,4.0,-2.1,
